@relation energy

@attribute EnegyLevel numeric
@attribute EnegyClass {Otimo,Regular}
@attribute NodeNumberAttribute string

@data
56,Regular,'30'
60,Regular,'36'
51,Regular,'50'
61,Regular,'2'
41,Regular,'70'
77,Otimo,'6'
24,Regular,'69'
36,Regular,'1'
87,Otimo,'2'
77,Otimo,'2'
97,Otimo,'2'
80,Otimo,'2'
76,Otimo,'2'
19,Regular,'14'
61,Regular,'62'
96,Otimo,'32'
99,Otimo,'32'
86,Otimo,'32'
59,Regular,'41'
1,Regular,'98'
70,Regular,'90'
86,Otimo,'26'
89,Otimo,'83'
77,Otimo,'4'
100,Otimo,'32'
90,Otimo,'32'
88,Otimo,'32'
38,Regular,'44'
44,Regular,'86'
79,Otimo,'80'
97,Otimo,'12'
98,Otimo,'28'
100,Otimo,'61'
79,Otimo,'45'
97,Otimo,'61'
78,Otimo,'45'
65,Regular,'4'
93,Otimo,'44'
89,Otimo,'50'
69,Regular,'42'
19,Regular,'63'
72,Regular,'46'
62,Regular,'88'
42,Regular,'49'
72,Regular,'61'
76,Otimo,'89'
66,Regular,'4'
27,Regular,'88'
71,Regular,'31'
15,Regular,'35'
45,Regular,'22'
2,Regular,'37'
80,Otimo,'5'
31,Regular,'10'
83,Otimo,'80'
76,Otimo,'94'
20,Regular,'20'
14,Regular,'60'
49,Regular,'52'
40,Regular,'58'
53,Regular,'89'
26,Regular,'19'
83,Otimo,'49'
85,Otimo,'33'
71,Regular,'2'
97,Otimo,'88'
29,Regular,'85'
65,Regular,'66'
86,Otimo,'83'
100,Otimo,'19'
66,Regular,'42'
53,Regular,'44'
43,Regular,'60'
6,Regular,'93'
77,Otimo,'65'
24,Regular,'51'
58,Regular,'68'
28,Regular,'96'
88,Otimo,'91'
96,Otimo,'83'
15,Regular,'67'
57,Regular,'27'
97,Otimo,'6'
84,Otimo,'5'
77,Otimo,'37'
92,Otimo,'55'
96,Otimo,'90'
80,Otimo,'32'
79,Otimo,'58'
84,Otimo,'54'
76,Otimo,'36'
93,Otimo,'75'
100,Otimo,'83'
88,Otimo,'83'
86,Otimo,'83'
80,Otimo,'83'
51,Regular,'0'
24,Regular,'2'
42,Regular,'94'
82,Otimo,'80'
7,Regular,'47'
90,Otimo,'47'
19,Regular,'45'
59,Regular,'15'
33,Regular,'18'
23,Regular,'21'
11,Regular,'1'
52,Regular,'60'
74,Regular,'76'
6,Regular,'36'
19,Regular,'43'
95,Otimo,'44'
96,Otimo,'10'
88,Otimo,'10'
83,Otimo,'60'
76,Otimo,'12'
44,Regular,'34'
81,Otimo,'77'
62,Regular,'94'
88,Otimo,'98'
79,Otimo,'1'
32,Regular,'6'
35,Regular,'82'
13,Regular,'49'
69,Regular,'44'
21,Regular,'17'
75,Otimo,'17'
26,Regular,'51'
60,Regular,'29'
93,Otimo,'54'
90,Otimo,'36'
92,Otimo,'75'
85,Otimo,'43'
98,Otimo,'85'
82,Otimo,'18'
54,Regular,'69'
17,Regular,'2'
77,Otimo,'37'
89,Otimo,'55'
76,Otimo,'90'
88,Otimo,'32'
81,Otimo,'58'
83,Otimo,'54'
76,Otimo,'36'
96,Otimo,'75'
82,Otimo,'43'
88,Otimo,'85'
85,Otimo,'18'
55,Regular,'78'
88,Otimo,'32'
81,Otimo,'58'
78,Otimo,'89'
81,Otimo,'27'
52,Regular,'5'
85,Otimo,'64'
14,Regular,'61'
23,Regular,'86'
82,Otimo,'74'
20,Regular,'95'
88,Otimo,'32'
81,Otimo,'58'
20,Regular,'80'
65,Regular,'35'
55,Regular,'28'
17,Regular,'62'
58,Regular,'18'
29,Regular,'76'
85,Otimo,'25'
86,Otimo,'19'
71,Regular,'93'
22,Regular,'83'
61,Regular,'49'
49,Regular,'31'
46,Regular,'86'
38,Regular,'46'
92,Otimo,'77'
99,Otimo,'50'
54,Regular,'17'
22,Regular,'81'
6,Regular,'19'
18,Regular,'34'
28,Regular,'88'
69,Regular,'96'
61,Regular,'29'
50,Regular,'0'
84,Otimo,'43'
57,Regular,'0'
30,Regular,'81'
56,Regular,'64'
36,Regular,'59'
95,Otimo,'71'
60,Regular,'62'
29,Regular,'27'
19,Regular,'79'
55,Regular,'63'
62,Regular,'89'
29,Regular,'18'
95,Otimo,'26'
50,Regular,'59'
62,Regular,'26'
98,Otimo,'66'
97,Otimo,'30'
95,Otimo,'0'
50,Regular,'63'
8,Regular,'36'
44,Regular,'73'
35,Regular,'3'
94,Otimo,'40'
35,Regular,'54'
29,Regular,'83'
80,Otimo,'44'
68,Regular,'41'
25,Regular,'21'
42,Regular,'22'
93,Otimo,'41'
99,Otimo,'13'
84,Otimo,'89'
6,Regular,'92'
41,Regular,'0'
94,Otimo,'80'
67,Regular,'49'
53,Regular,'75'
44,Regular,'95'
80,Otimo,'60'
38,Regular,'0'
97,Otimo,'15'
18,Regular,'82'
77,Otimo,'16'
40,Regular,'6'
9,Regular,'10'
82,Otimo,'94'
70,Regular,'90'
93,Otimo,'92'
61,Regular,'14'
40,Regular,'51'
90,Otimo,'56'
91,Otimo,'84'
73,Regular,'63'
44,Regular,'37'
66,Regular,'97'
77,Otimo,'46'
76,Otimo,'1'
89,Otimo,'66'
45,Regular,'98'
88,Otimo,'36'
8,Regular,'13'
42,Regular,'38'
25,Regular,'51'
20,Regular,'2'
49,Regular,'34'
75,Otimo,'33'
2,Regular,'41'
98,Otimo,'65'
21,Regular,'45'
92,Otimo,'2'
93,Otimo,'98'
2,Regular,'51'
47,Regular,'54'
45,Regular,'9'
15,Regular,'67'
21,Regular,'10'
43,Regular,'2'
97,Otimo,'30'
56,Regular,'14'
88,Otimo,'43'
27,Regular,'18'
79,Otimo,'71'
11,Regular,'44'
38,Regular,'91'
87,Otimo,'14'
70,Regular,'31'
28,Regular,'62'
24,Regular,'68'
87,Otimo,'68'
31,Regular,'98'
37,Regular,'21'
68,Regular,'39'
86,Otimo,'81'
15,Regular,'51'
83,Otimo,'51'
77,Otimo,'37'
98,Otimo,'44'
83,Otimo,'78'
5,Regular,'18'
15,Regular,'19'
43,Regular,'54'
7,Regular,'26'
64,Regular,'61'
3,Regular,'5'
90,Otimo,'59'
8,Regular,'55'
49,Regular,'47'
29,Regular,'51'
10,Regular,'92'
75.0, ?, ?
