@relation energy

@attribute Otimo numeric
@attribute Regular numeric
@attribute class {Otimo,Regular}
@attribute NodeNumberAttribute string

@data
0,16,Regular,'31'
0,31,Regular,'32'
0,40,Regular,'33'
0,9,Regular,'34'
0,4,Regular,'35'
65,0,Otimo,'36'
0,11,Regular,'37'
59,0,Otimo,'38'
88,0,Otimo,'39'
70,0,Otimo,'40'
57,0,Otimo,'41'
66,0,Otimo,'42'
0,28,Regular,'43'
65,0,Otimo,'44'
0,38,Regular,'45'
64,0,Otimo,'46'
78,0,Otimo,'47'
79,0,Otimo,'48'
77,0,Otimo,'49'
0,49,Regular,'50'
87,0,Otimo,'51'
64,0,Otimo,'52'
0,5,Regular,'53'
0,48,Regular,'54'
60,0,Otimo,'55'
94,0,Otimo,'56'
92,0,Otimo,'57'
0,38,Regular,'58'
72,0,Otimo,'59'
53,0,Otimo,'60'
0,32,Regular,'61'
68,0,Otimo,'62'
0,37,Regular,'63'
0,22,Regular,'64'
0,25,Regular,'65'
0,28,Regular,'66'
57,0,Otimo,'67'
79,0,Otimo,'68'
0,46,Regular,'69'
0,11,Regular,'70'
0,5,Regular,'71'
0,13,Regular,'72'
99,0,Otimo,'73'
54,0,Otimo,'74'
81,0,Otimo,'75'
0,5,Regular,'76'
0,33,Regular,'77'
81,0,Otimo,'78'
61,0,Otimo,'79'
0,36,Regular,'80'
86,0,Otimo,'81'
85,0,Otimo,'82'
63,0,Otimo,'83'
0,46,Regular,'84'
0,12,Regular,'85'
57,0,Otimo,'86'
64,0,Otimo,'87'
64,0,Otimo,'88'
0,47,Regular,'89'
0,6,Regular,'90'
0,1,Regular,'91'
0,23,Regular,'92'
0,9,Regular,'93'
0,34,Regular,'94'
67,0,Otimo,'95'
78,0,Otimo,'96'
69,0,Otimo,'97'
93,0,Otimo,'98'
58,0,Otimo,'1'
0,25,Regular,'2'
0,14,Regular,'3'
0,32,Regular,'4'
66,0,Otimo,'5'
0,28,Regular,'6'
88,0,Otimo,'7'
0,29,Regular,'8'
0,34,Regular,'9'
65,0,Otimo,'10'
0,38,Regular,'11'
0,18,Regular,'12'
0,20,Regular,'13'
82,0,Otimo,'14'
50,0,Otimo,'15'
0,4,Regular,'16'
52,0,Otimo,'17'
0,16,Regular,'18'
0,17,Regular,'19'
0,8,Regular,'20'
82,0,Otimo,'21'
78,0,Otimo,'22'
0,35,Regular,'23'
72,0,Otimo,'24'
69,0,Otimo,'25'
91,0,Otimo,'26'
0,33,Regular,'27'
0,39,Regular,'28'
0,34,Regular,'29'
84,0,Otimo,'30'
0,43,Regular,'31'
72,0,Otimo,'32'
68,0,Otimo,'33'
78,0,Otimo,'34'
60,0,Otimo,'35'
0,24,Regular,'36'
68,0,Otimo,'37'
65,0,Otimo,'38'
0,28,Regular,'39'
0,20,Regular,'40'
68,0,Otimo,'41'
76,0,Otimo,'42'
74,0,Otimo,'43'
0,48,Regular,'44'
87,0,Otimo,'45'
88,0,Otimo,'46'
51,0,Otimo,'47'
0,49,Regular,'48'
86,0,Otimo,'49'
0,43,Regular,'50'
67,0,Otimo,'51'
84,0,Otimo,'52'
55,0,Otimo,'53'
0,31,Regular,'54'
0,22,Regular,'55'
74,0,Otimo,'56'
0,20,Regular,'57'
91,0,Otimo,'58'
70,0,Otimo,'59'
92,0,Otimo,'60'
0,8,Regular,'61'
0,35,Regular,'62'
0,5,Regular,'63'
57,0,Otimo,'64'
78,0,Otimo,'65'
87,0,Otimo,'66'
87,0,Otimo,'67'
0,5,Regular,'68'
61,0,Otimo,'69'
96,0,Otimo,'70'
0,37,Regular,'71'
68,0,Otimo,'72'
81,0,Otimo,'73'
0,2,Regular,'74'
0,34,Regular,'75'
91,0,Otimo,'76'
73,0,Otimo,'77'
0,19,Regular,'78'
0,13,Regular,'79'
83,0,Otimo,'80'
64,0,Otimo,'81'
65,0,Otimo,'82'
70,0,Otimo,'83'
59,0,Otimo,'84'
0,16,Regular,'85'
0,17,Regular,'86'
0,17,Regular,'87'
54,0,Otimo,'88'
0,27,Regular,'89'
86,0,Otimo,'90'
65,0,Otimo,'91'
62,0,Otimo,'92'
75,0,Otimo,'93'
0,43,Regular,'94'
0,45,Regular,'95'
0,30,Regular,'96'
80,0,Otimo,'97'
92,0,Otimo,'98'
0,30,Regular,'1'
66,0,Otimo,'2'
70,0,Otimo,'3'
0,19,Regular,'4'
79,0,Otimo,'5'
91,0,Otimo,'6'
0,44,Regular,'7'
84,0,Otimo,'8'
0,40,Regular,'9'
0,18,Regular,'10'
52,0,Otimo,'11'
0,12,Regular,'12'
0,6,Regular,'13'
0,16,Regular,'14'
0,12,Regular,'15'
59,0,Otimo,'16'
58,0,Otimo,'17'
72,0,Otimo,'18'
76,0,Otimo,'19'
0,3,Regular,'20'
79,0,Otimo,'21'
0,12,Regular,'22'
0,0,Regular,'23'
85,0,Otimo,'24'
0,17,Regular,'25'
0,6,Regular,'26'
0,39,Regular,'27'
0,31,Regular,'28'
96,0,Otimo,'29'
56,0,Otimo,'30'
0,15,Regular,'31'
71,0,Otimo,'32'
69,0,Otimo,'33'
75,0,Otimo,'34'
90,0,Otimo,'35'
0,0,Regular,'36'
82,0,Otimo,'37'
86,0,Otimo,'38'
91,0,Otimo,'39'
0,2,Regular,'40'
74,0,Otimo,'41'
0,46,Regular,'42'
69,0,Otimo,'43'
0,23,Regular,'44'
73,0,Otimo,'45'
72,0,Otimo,'46'
91,0,Otimo,'47'
0,1,Regular,'48'
81,0,Otimo,'49'
0,27,Regular,'50'
0,22,Regular,'51'
0,45,Regular,'52'
0,34,Regular,'53'
0,21,Regular,'54'
65,0,Otimo,'55'
0,45,Regular,'56'
0,22,Regular,'57'
67,0,Otimo,'58'
65,0,Otimo,'59'
0,3,Regular,'60'
86,0,Otimo,'61'
51,0,Otimo,'62'
61,0,Otimo,'63'
0,18,Regular,'64'
69,0,Otimo,'65'
51,0,Otimo,'66'
0,28,Regular,'67'
0,9,Regular,'68'
53,0,Otimo,'69'
0,4,Regular,'70'
64,0,Otimo,'71'
0,33,Regular,'72'
0,26,Regular,'73'
0,37,Regular,'74'
0,35,Regular,'75'
0,18,Regular,'76'
78,0,Otimo,'77'
73,0,Otimo,'78'
65,0,Otimo,'79'
96,0,Otimo,'80'
0,32,Regular,'81'
73,0,Otimo,'82'
51,0,Otimo,'83'
80,0,Otimo,'84'
96,0,Otimo,'85'
59,0,Otimo,'86'
73,0,Otimo,'87'
51,0,Otimo,'88'
80,0,Otimo,'89'
96,0,Otimo,'90'
59,0,Otimo,'91'
0,31,Regular,'92'
59,0,Otimo,'93'
83,0,Otimo,'94'
87,0,Otimo,'95'
0,34,Regular,'96'
0,5,Regular,'97'
0,41,Regular,'98'
0,33,Regular,'1'
0,26,Regular,'2'
0,31,Regular,'3'
75,0,Otimo,'4'
0,41,Regular,'5'
0,17,Regular,'6'
0,18,Regular,'7'
0,7,Regular,'8'
67,0,Otimo,'9'
0,5,Regular,'10'
55,0,Otimo,'11'
88,0,Otimo,'12'
77,0,Otimo,'13'
0,32,Regular,'14'
0,36,Regular,'15'
0,9,Regular,'16'
0,41,Regular,'17'
0,19,Regular,'18'
0,43,Regular,'19'
75,0,Otimo,'20'
75,0,Otimo,'21'
0,40,Regular,'22'
0,17,Regular,'23'
0,28,Regular,'24'
0,15,Regular,'25'
0,20,Regular,'26'
0,32,Regular,'27'
57,0,Otimo,'28'
0,10,Regular,'29'
0,3,Regular,'30'
92,0,Otimo,'31'
95,0,Otimo,'32'
70,0,Otimo,'33'
82,0,Otimo,'34'
77,0,Otimo,'35'
0,31,Regular,'36'
0,21,Regular,'37'
58,0,Otimo,'38'
0,35,Regular,'39'
88,0,Otimo,'40'
0,14,Regular,'41'
50,0,Otimo,'42'
92,0,Otimo,'43'
0,15,Regular,'44'
72,0,Otimo,'45'
0,34,Regular,'46'
71,0,Otimo,'47'
53,0,Otimo,'48'
0,39,Regular,'49'
0,21,Regular,'50'
77,0,Otimo,'51'
97,0,Otimo,'52'
0,25,Regular,'53'
87,0,Otimo,'54'
89,0,Otimo,'55'
58,0,Otimo,'56'
0,0,Regular,'57'
65,0,Otimo,'58'
0,46,Regular,'59'
0,3,Regular,'60'
0,12,Regular,'61'
0,13,Regular,'62'
0,2,Regular,'63'
68,0,Otimo,'64'
0,47,Regular,'65'
70,0,Otimo,'66'
99,0,Otimo,'67'
0,4,Regular,'68'
75,0,Otimo,'69'
59,0,Otimo,'70'
60,0,Otimo,'71'
91,0,Otimo,'72'
75,0,Otimo,'73'
59,0,Otimo,'74'
60,0,Otimo,'75'
91,0,Otimo,'76'
75,0,Otimo,'77'
59,0,Otimo,'78'
60,0,Otimo,'79'
91,0,Otimo,'76'
75,0,Otimo,'77'
59,0,Otimo,'78'
60,0,Otimo,'79'
91,0,Otimo,'76'
75,0,Otimo,'77'
59,0,Otimo,'78'
60,0,Otimo,'79'
91,0,Otimo,'76'
75,0,Otimo,'77'
59,0,Otimo,'78'
60,0,Otimo,'79'
91,0,Otimo,'76'
75,0,Otimo,'77'
59,0,Otimo,'78'
60,0,Otimo,'79'
91,0,Otimo,'76'
75,0,Otimo,'77'
59,0,Otimo,'78'
60,0,Otimo,'79'
91,0,Otimo,'76'
0,23,Regular,'80'
87,0,Otimo,'81'
50,0,Otimo,'82'
0,30,Regular,'83'
64,0,Otimo,'84'
52,0,Otimo,'85'
78,0,Otimo,'86'
66,0,Otimo,'87'
64,0,Otimo,'88'
52,0,Otimo,'89'
78,0,Otimo,'90'
66,0,Otimo,'91'
0,29,Regular,'92'
76,0,Otimo,'93'
0,10,Regular,'94'
0,25,Regular,'95'
0,36,Regular,'96'
97,0,Otimo,'97'
71,0,Otimo,'98'
97,0,Otimo,'1'
71,0,Otimo,'98'
0,39,Regular,'2'
0,26,Regular,'3'
0,45,Regular,'4'
92,0,Otimo,'5'
99,0,Otimo,'6'
92,0,Otimo,'7'
92,0,Otimo,'8'
99,0,Otimo,'9'
92,0,Otimo,'10'
0,42,Regular,'11'
81,0,Otimo,'12'
0,17,Regular,'13'
96,0,Otimo,'14'
78,0,Otimo,'15'
66,0,Otimo,'16'
0,12,Regular,'17'
0,22,Regular,'18'
0,24,Regular,'19'
0,44,Regular,'20'
98.0, 0.0, ?, ?
